Dates,Inflation,GDP
Jun-11,90.52,2149210.584
Sep-11,92.39,2164313.51
Dec-11,94.70,2199333.197
Mar-12,96.54,2231880.261
Jun-12,99.40,2253498.585
Sep-12,101.77,2293963.674
Dec-12,103.69,2320677.6
Mar-13,106.27,2358207.291
Jun-13,108.33,2392199.086
Sep-13,111.79,2430410.057
Dec-13,115.39,2483697.052
Mar-14,115.12,2511625.686
Jun-14,117.46,2567665.294
Sep-14,119.30,2613185.991
Dec-14,119.35,2653384.465
Mar-15,120.98,2698278.795
Jun-15,122.53,2756671.481
Sep-15,124.20,2808013.133
Dec-15,125.96,2864234.203
Mar-16,127.33,2945683.727
Jun-16,129.65,2995330.106
Sep-16,130.67,3062267.07
Dec-16,130.74,3103660.982
Mar-17,132.17,3129074.673
Jun-17,132.45,3194104.74
Sep-17,135.30,3247083.043
Dec-17,137.36,3308695.978
Mar-18,138.15,3380358.329
Jun-18,139.07,3425922.665
Sep-18,140.31,3474367.091
Dec-18,140.40,3525038.265
Mar-19,141.82,3560117.614
Jun-19,143.46,3605439.43
Sep-19,145.07,3627110.187
Dec-19,148.43,3632035.111
Mar-20,151.42,3639486.277
Jun-20,153.07,2812639.469
Sep-20,155.37,3448283.715
Dec-20,159.43,3679786.331
Mar-21,159.45,3729438.172
Jun-21,162.19,3461823.655
Sep-21,163.63,3789817.998
Dec-21,166.71,3863017.105
Mar-22,170.04,3888170.988
Jun-22,174.05,3927206.603
Sep-22,175.17,4011488.119
Dec-22,175.26,4069681.223
Mar-23,179.32,4170655.283
Jun-23,182.28,4286007.932
Sep-23,183.92,4370383.538
Dec-23,185.33,4448939.339
Mar-24,188.07,4512926.055
Jun-24,192.08,4573349.514
Sep-24,193.88,4647776.167
Dec-24,194.86,4737524.649
Mar-25,195.02,4836004.191
